OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177622502                                            
Config info:
LaserDAC,68
FanDAC,255
ToFtoSFRfactor,58
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
511,51,5,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,0,0,0.680,6.580,32.006,43.463,9.053,13.240,15.377,119,0,2104,15,0,596
530,59,9,2,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,26,32,0,0.680,7.070,32.006,43.494,9.036,17.604,99.013,114,0,2027,10,0,595
509,52,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0,0,0.680,7.010,32.036,43.482,8.633,10.773,10.972,94,0,2082,7,0,596
496,50,10,1,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,42,22,0.680,6.980,32.022,43.466,8.495,18.382,34.387,122,0,2293,10,0,595
497,67,12,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,17,34,0.680,6.960,32.022,43.466,9.104,16.770,26.816,104,0,2039,11,0,597
506,60,10,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,29,0,0.680,6.360,32.049,43.443,10.336,14.312,14.954,100,0,2017,11,0,596
537,49,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,0,0,0.680,6.120,32.049,43.427,9.921,12.403,28.590,123,0,2090,10,0,596
522,55,11,0,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,29,0,0.680,6.490,32.049,43.509,9.591,17.601,52.456,121,0,2124,8,0,596
524,50,16,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,0,0,0.680,6.430,32.036,43.591,10.246,17.514,36.931,102,0,2089,20,0,597
538,53,18,0,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,25,0,0.680,6.660,32.049,43.523,10.084,18.007,71.540,106,0,2065,5,0,596
516,55,7,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,0,0,0.680,6.800,32.079,43.582,8.786,12.349,60.193,97,0,2039,7,0,596
494,50,15,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,30,31,0,0.680,6.590,32.079,43.527,9.457,15.020,54.304,119,0,2064,8,0,595
500,48,14,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,36,40,0.680,6.740,32.065,43.500,9.085,16.343,53.483,116,0,2040,5,0,596
486,58,14,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,35,0,0.680,6.840,32.065,43.500,9.118,14.061,44.555,120,0,2161,10,0,596
518,62,14,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,33,0,0.680,6.890,32.079,43.500,9.749,15.487,32.134,117,0,2050,8,0,596
498,52,14,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,31,0,0.680,6.920,32.079,43.431,8.909,13.157,14.215,109,0,2016,5,0,596
536,63,13,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,4,31,0,0.680,6.930,32.079,43.390,9.664,14.553,62.485,89,0,2033,5,0,596
507,62,11,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,37,0,0.680,6.940,32.092,43.404,9.462,14.552,15.690,123,0,1972,7,0,596
517,65,10,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,26,32,0,0.680,6.640,32.108,43.285,9.437,13.648,95.804,124,0,2080,8,0,597
537,62,10,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,0,43,0.680,6.490,32.121,43.247,9.897,14.200,79.640,101,0,2093,13,0,596
548,71,10,1,3,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,33,0,0.680,6.710,32.108,43.202,10.242,18.366,97.215,108,0,2117,14,0,596
499,62,12,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,0.680,7.150,32.135,43.152,8.694,13.055,28.735,123,0,2177,13,0,597
490,67,8,6,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,16,48,0.680,6.730,32.135,43.166,9.584,17.722,27.797,124,0,2234,16,0,597
