timestamp,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1,MToFBin3,MToFBin5,MToFBin7,SamplingPeriod,SFR,Temp,RH,PM_1.000,PM_2.500,PM_10.000,RjtGlitch,RjtLong,RjtRatio,RjtRange,FanRevs,LaserStatus,filename
2023-10-25 15:24:13.960,512,53,11,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,43,0.68,7.05,31.779,44.063,8.43,12.686,23.874,91,0,1891,11,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:15.356,454,70,15,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,12,9,0.68,6.69,31.779,43.984,9.146,12.857,19.133,103,0,1919,10,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:16.751,515,45,22,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,36,0,0.68,6.54,31.779,44.025,9.887,14.893,32.288,104,0,1844,10,0,597,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:18.147,490,61,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,0,0,0.68,6.45,31.809,43.903,9.196,12.393,42.974,97,0,1914,8,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:19.542,539,65,12,6,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,33,3,0.68,6.4,31.809,43.852,10.846,19.105,28.535,84,0,1925,15,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:20.938,526,48,15,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,30,39,0.68,6.63,31.822,43.77,9.611,16.893,53.443,119,0,1891,9,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:22.333,505,53,16,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,33,37,0.68,6.78,31.822,43.797,9.201,13.142,19.39,99,0,1917,10,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:23.729,548,53,15,2,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,31,29,7,0.67,6.31,31.822,43.906,10.631,15.619,157.056,96,0,1878,10,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:25.124,503,61,8,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,20,0,0.68,6.33,31.852,43.787,9.643,15.534,62.618,103,0,1785,11,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:26.520,518,48,10,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,34,38,0.68,6.34,31.836,43.746,9.487,15.984,25.028,106,0,1852,11,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
